id,city,date,match_type,player_of_match,venue,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2,year,toss_winner_won,home_team,away_team,win_by_runs,win_by_wickets,home_team_result
335982,Bangalore,2008-04-18,League,BB McCullum,M Chinnaswamy Stadium,Royal Challengers Bengaluru,field,Kolkata Knight Riders,runs,140,223,20,0,Normal,Asad Rauf,RE Koertzen,2008,0,Royal Challengers Bengaluru,Kolkata Knight Riders,1,0,Loss
335983,Chandigarh,2008-04-19,League,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,bat,Chennai Super Kings,runs,33,241,20,0,Normal,MR Benson,SL Shastri,2008,1,Punjab Kings,Chennai Super Kings,1,0,Loss
335984,Delhi,2008-04-19,League,MF Maharoof,Feroz Shah Kotla,Rajasthan Royals,bat,Delhi Capitals,wickets,9,130,20,0,Normal,Aleem Dar,GA Pratapkumar,2008,0,Delhi Capitals,Rajasthan Royals,0,1,Win
335985,Mumbai,2008-04-20,League,MV Boucher,Wankhede Stadium,Mumbai Indians,bat,Royal Challengers Bengaluru,wickets,5,166,20,0,Normal,SJ Davis,DJ Harper,2008,0,Mumbai Indians,Royal Challengers Bengaluru,0,1,Loss
335986,Kolkata,2008-04-20,League,DJ Hussey,Eden Gardens,Deccan Chargers,bat,Kolkata Knight Riders,wickets,5,111,20,0,Normal,BF Bowden,K Hariharan,2008,0,Kolkata Knight Riders,Deccan Chargers,0,1,Win
335987,Jaipur,2008-04-21,League,SR Watson,Sawai Mansingh Stadium,Punjab Kings,bat,Rajasthan Royals,wickets,6,167,20,0,Normal,Aleem Dar,RB Tiffin,2008,0,Rajasthan Royals,Punjab Kings,0,1,Win
335988,Hyderabad,2008-04-22,League,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,Delhi Capitals,wickets,9,143,20,0,Normal,IL Howell,AM Saheba,2008,0,Deccan Chargers,Delhi Capitals,0,1,Loss
335989,Chennai,2008-04-23,League,ML Hayden,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,field,Chennai Super Kings,runs,6,209,20,0,Normal,DJ Harper,GA Pratapkumar,2008,0,Chennai Super Kings,Mumbai Indians,1,0,Win
335990,Hyderabad,2008-04-24,League,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,field,Rajasthan Royals,wickets,3,215,20,0,Normal,Asad Rauf,MR Benson,2008,1,Deccan Chargers,Rajasthan Royals,0,1,Loss
335991,Chandigarh,2008-04-25,League,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,field,Punjab Kings,runs,66,183,20,0,Normal,Aleem Dar,AM Saheba,2008,0,Punjab Kings,Mumbai Indians,1,0,Win
335992,Bangalore,2008-04-26,League,SR Watson,M Chinnaswamy Stadium,Rajasthan Royals,field,Rajasthan Royals,wickets,7,136,20,0,Normal,MR Benson,IL Howell,2008,1,Royal Challengers Bengaluru,Rajasthan Royals,0,1,Loss
335993,Chennai,2008-04-26,League,JDP Oram,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,bat,Chennai Super Kings,wickets,9,148,20,0,Normal,BF Bowden,AV Jayaprakash,2008,0,Chennai Super Kings,Kolkata Knight Riders,0,1,Win
335994,Mumbai,2008-04-27,League,AC Gilchrist,Dr DY Patil Sports Academy,Deccan Chargers,field,Deccan Chargers,wickets,10,155,20,0,Normal,Asad Rauf,SL Shastri,2008,1,Mumbai Indians,Deccan Chargers,0,1,Loss
335995,Chandigarh,2008-04-27,League,SM Katich,"Punjab Cricket Association Stadium, Mohali",Delhi Capitals,bat,Punjab Kings,wickets,4,159,20,0,Normal,RE Koertzen,I Shivram,2008,0,Punjab Kings,Delhi Capitals,0,1,Win
335996,Bangalore,2008-04-28,League,MS Dhoni,M Chinnaswamy Stadium,Chennai Super Kings,bat,Chennai Super Kings,runs,13,179,20,0,Normal,BR Doctrove,RB Tiffin,2008,1,Royal Challengers Bengaluru,Chennai Super Kings,1,0,Loss
335997,Kolkata,2008-04-29,League,ST Jayasuriya,Eden Gardens,Kolkata Knight Riders,bat,Mumbai Indians,wickets,7,138,20,0,Normal,BF Bowden,AV Jayaprakash,2008,0,Kolkata Knight Riders,Mumbai Indians,0,1,Loss
335998,Delhi,2008-04-30,League,GD McGrath,Feroz Shah Kotla,Royal Challengers Bengaluru,field,Delhi Capitals,runs,10,192,20,0,Normal,Aleem Dar,I Shivram,2008,0,Delhi Capitals,Royal Challengers Bengaluru,1,0,Win
335999,Hyderabad,2008-05-01,League,SE Marsh,"Rajiv Gandhi International Stadium, Uppal",Punjab Kings,field,Punjab Kings,wickets,7,165,20,0,Normal,BR Doctrove,RB Tiffin,2008,1,Deccan Chargers,Punjab Kings,0,1,Loss
336000,Jaipur,2008-05-01,League,SA Asnodkar,Sawai Mansingh Stadium,Rajasthan Royals,bat,Rajasthan Royals,runs,45,197,20,0,Normal,RE Koertzen,GA Pratapkumar,2008,1,Rajasthan Royals,Kolkata Knight Riders,1,0,Win
336001,Chennai,2008-05-02,League,V Sehwag,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Delhi Capitals,wickets,8,170,20,0,Normal,BF Bowden,K Hariharan,2008,0,Chennai Super Kings,Delhi Capitals,0,1,Loss
336003,Chandigarh,2008-05-03,League,IK Pathan,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,bat,Punjab Kings,runs,9,179,20,0,Normal,DJ Harper,I Shivram,2008,1,Punjab Kings,Kolkata Knight Riders,1,0,Win
336034,Bangalore,2008-05-03,League,P Kumar,M Chinnaswamy Stadium,Deccan Chargers,field,Royal Challengers Bengaluru,runs,3,157,20,0,Normal,BR Doctrove,SL Shastri,2008,0,Royal Challengers Bengaluru,Deccan Chargers,1,0,Win
336004,Mumbai,2008-05-04,League,SM Pollock,Dr DY Patil Sports Academy,Delhi Capitals,field,Mumbai Indians,runs,29,163,20,0,Normal,IL Howell,RE Koertzen,2008,0,Mumbai Indians,Delhi Capitals,1,0,Win
